Cheval;Âge;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur
KENNY;7;H;PUR SANG;9;1;5;15262,00;6867,00;22129,00;1695,78;240.0
VERSION COX;5;F;PUR SANG;8;1;5;15260,00;6866,00;22126,00;1907,50;245.0
LOVE IS GOLD;5;H;PUR SANG;6;0;3;15260,00;6866,00;22126,00;2543,33;380.0
HAWKEYE;3;M;PUR SANG;2;1;1;15250,00;11437,00;26687,00;7625,00;
GENERAL JONES;4;H;PUR SANG;2;1;1;15250,00;6862,00;22112,00;7625,00;300.0
ZANGAR;3;H;PUR SANG;4;0;4;15250,00;11437,00;26687,00;3812,50;370.0
MAHJONG;3;M;PUR SANG;7;0;6;15250,00;11436,00;26686,00;2178,57;345.0
AZOV;7;H;PUR SANG;11;0;7;15248,00;6861,00;22109,00;1386,18;350.0
KALINAGO;3;F;PUR SANG;6;1;4;15230,00;11422,00;26652,00;2538,33;310.0
ARGYRON;9;H;PUR SANG;7;1;4;15230,00;6853,00;22083,00;2175,71;245.0
MATT MACHINE;6;M;PUR SANG;6;1;2;15220,00;0,00;15220,00;2536,67;410.0
KATRAIN DE GHAZAL;4;M;ARABE;5;1;3;15200,00;6840,00;22040,00;3040,00;480.0
CIEL DE PARIS;3;H;PUR SANG;4;1;2;15200,00;11399,00;26599,00;3800,00;390.0
JORDANELLA;6;F;PUR SANG;4;0;2;15200,00;6840,00;22040,00;3800,00;430.0
DORADO;2;M;PUR SANG;2;0;2;15192,00;1644,00;16836,00;7596,00;
MALYA;4;F;PUR SANG;11;1;6;15186,00;6833,00;22019,00;1380,55;250.0
CRACKNELL;5;H;PUR SANG;2;1;1;15180,00;6831,00;22011,00;7590,00;300.0
WONDER BOY;10;H;PUR SANG;11;0;7;15180,00;6830,00;22010,00;1380,00;325.0
GOD SAVE THE QUEEN;6;F;PUR SANG;8;2;4;15160,00;4932,00;20092,00;1895,00;210.0
BLACK LIVES MATTER;6;H;PUR SANG;11;1;2;15150,00;6817,00;21967,00;1377,27;295.0
FANTASTIQUE AA;3;F;ANGLO-ARABE;4;0;3;15147,00;0,00;15147,00;3786,75;
CITE MALESHERBES;4;F;PUR SANG;10;1;7;15137,00;6180,00;21317,00;1513,70;210.0
ARCUBIATU;5;H;PUR SANG;10;1;6;15136,00;6810,00;21946,00;1513,60;280.0
ALASTOR MAUGREY;3;H;PUR SANG;7;0;7;15134,00;11349,00;26483,00;2162,00;310.0
LE GARDOLOT;7;H;PUR SANG;7;1;4;15132,00;6808,00;21940,00;2161,71;250.0
SHOW SET;2;F;PUR SANG;7;0;6;15127,00;11344,00;26471,00;2161,00;325.0
MYSTIC;6;H;PUR SANG;4;1;2;15120,00;6804,00;21924,00;3780,00;285.0
MADAM SECRETARY;3;F;PUR SANG;3;1;1;15100,00;0,00;15100,00;5033,33;375.0
RIVER QUARTZ;3;H;PUR SANG;6;0;5;15096,00;11320,00;26416,00;2516,00;290.0
RISING UP;5;M;PUR SANG;14;1;6;15088,00;6788,00;21876,00;1077,71;235.0
MORFALOU AA;3;H;ANGLO-ARABE DE COMPLEMENT;3;1;2;15081,00;0,00;15081,00;5027,00;
HIGHBARI;8;H;PUR SANG;5;1;2;15080,00;6785,00;21865,00;3016,00;330.0
GUNS AND ROSES;2;M;PUR SANG;6;1;5;15080,00;11310,00;26390,00;2513,33;335.0
LOUIS OTHON;3;M;PUR SANG;9;0;5;15080,00;11309,00;26389,00;1675,56;330.0
BONNY GLITTERS;6;F;PUR SANG;5;2;1;15060,00;6777,00;21837,00;3012,00;365.0
VAZIRPOUR;5;H;PUR SANG;8;1;4;15040,00;6767,00;21807,00;1880,00;335.0
NEBUR;2;M;PUR SANG;5;1;3;15011,00;11257,00;26268,00;3002,20;405.0
FLY HALF;3;M;PUR SANG;5;1;1;15000,00;11250,00;26250,00;3000,00;405.0
VADE MECUM;3;H;PUR SANG;5;1;1;15000,00;11250,00;26250,00;3000,00;330.0
HUTTON;5;M;PUR SANG;6;1;4;15000,00;0,00;15000,00;2500,00;285.0
SEGALL;2;M;PUR SANG;1;1;0;15000,00;11250,00;26250,00;15000,00;
BULNES;3;M;PUR SANG;2;1;0;15000,00;0,00;15000,00;7500,00;455.0
JANAH;3;F;PUR SANG;4;0;4;15000,00;11250,00;26250,00;3750,00;360.0
ZAKOSHA;3;F;PUR SANG;4;0;4;15000,00;11249,00;26249,00;3750,00;365.0
LAKE FOREST;4;M;PUR SANG;1;0;1;15000,00;0,00;15000,00;15000,00;
RUA;3;F;PUR SANG;8;1;5;14999,00;0,00;14999,00;1874,88;320.0
INSTRUIT;8;H;PUR SANG;8;1;3;14976,00;6738,00;21714,00;1872,00;305.0
QUE VENDRA;5;F;PUR SANG;6;1;3;14970,00;6736,00;21706,00;2495,00;355.0
NOUSDEUX;4;F;PUR SANG;9;2;2;14960,00;6732,00;21692,00;1662,22;275.0
DON FALCO;6;H;PUR SANG;10;1;5;14960,00;6731,00;21691,00;1496,00;280.0
PAS DANSANT;2;M;PUR SANG;3;1;1;14958,00;11218,00;26176,00;4986,00;410.0
BIG LOG;5;H;PUR SANG;11;0;5;14956,00;6729,00;21685,00;1359,64;335.0
KEREMET;3;M;PUR SANG;5;1;2;14950,00;11212,00;26162,00;2990,00;355.0
IKKO;3;H;PUR SANG;6;1;4;14948,00;10460,00;25408,00;2491,33;340.0
BROTHERS OF LILY'S;4;H;PUR SANG;11;0;5;14930,00;6718,00;21648,00;1357,27;345.0
HOLLIE WOOD;2;F;PUR SANG;4;1;2;14920,00;11190,00;26110,00;3730,00;370.0
SUMMER WAY;6;F;PUR SANG;5;1;4;14911,00;6709,00;21620,00;2982,20;280.0
ZAAHIR;9;H;PUR SANG;14;1;5;14906,00;6707,00;21613,00;1064,71;200.0
LUBIANA AA;5;F;*ANGLO-ARABE COMPLEMENT*;6;1;4;14900,00;0,00;14900,00;2483,33;
BABYKEN;3;H;PUR SANG;2;1;1;14900,00;11175,00;26075,00;7450,00;
CLOVERA;3;F;PUR SANG;3;1;1;14900,00;11175,00;26075,00;4966,67;395.0
YUKAI;3;F;PUR SANG;6;1;2;14900,00;11174,00;26074,00;2483,33;310.0
GARIGA;2;F;PUR SANG;3;1;2;14890,00;11167,00;26057,00;4963,33;380.0
CAREGIVER;5;H;PUR SANG;7;0;6;14888,00;6698,00;21586,00;2126,86;260.0
FOU FURIEUX;4;M;PUR SANG;13;1;2;14867,00;6689,00;21556,00;1143,62;360.0
TRUST ON;3;M;PUR SANG;4;1;1;14850,00;11137,00;25987,00;3712,50;390.0
CALA ROSSA;3;F;PUR SANG;4;0;3;14850,00;11137,00;25987,00;3712,50;365.0
ACOTANGO;4;H;PUR SANG;7;1;3;14830,00;6672,00;21502,00;2118,57;355.0
BOUGAINVILLIER;6;H;PUR SANG;10;0;4;14830,00;6673,00;21503,00;1483,00;285.0
ATHINEOS;6;H;PUR SANG;9;0;5;14829,00;6672,00;21501,00;1647,67;310.0
DELTA SPIRIT;8;H;PUR SANG;8;1;5;14828,00;6671,00;21499,00;1853,50;275.0
MCTENETT;4;M;PUR SANG;5;0;3;14820,00;0,00;14820,00;2964,00;365.0
MASSA CHOP;6;H;PUR SANG;15;1;6;14807,00;6076,00;20883,00;987,13;220.0
PISORNO;7;H;PUR SANG;12;1;8;14800,00;6660,00;21460,00;1233,33;250.0
MAROONED;3;F;PUR SANG;6;1;1;14800,00;11099,00;25899,00;2466,67;370.0
SOUTH BAY;3;F;PUR SANG;2;1;1;14780,00;11085,00;25865,00;7390,00;
IPPLING;8;M;PUR SANG;11;2;5;14756,00;6639,00;21395,00;1341,45;220.0
HAVIASSOR;7;H;PUR SANG;5;2;1;14750,00;6637,00;21387,00;2950,00;320.0
COTE D'OR;3;H;PUR SANG;11;1;7;14732,00;11048,00;25780,00;1339,27;300.0
ZINGARELLE;4;F;PUR SANG;2;1;1;14720,00;6624,00;21344,00;7360,00;355.0
HINSILAYA AA;4;F;ANGLO-ARABE;4;1;2;14700,00;0,00;14700,00;3675,00;
ZAWAN;3;F;PUR SANG;6;1;1;14700,00;11025,00;25725,00;2450,00;390.0
SISSOU;3;F;PUR SANG;4;1;1;14700,00;11025,00;25725,00;3675,00;335.0
TIBERIANA;3;F;PUR SANG;10;1;7;14700,00;11025,00;25725,00;1470,00;265.0
SWINGUER;3;H;PUR SANG;3;1;1;14700,00;11025,00;25725,00;4900,00;380.0
CARAMELITO;6;H;PUR SANG;5;0;3;14670,00;6601,00;21271,00;2934,00;470.0
SPYCATCHER;7;H;PUR SANG;1;0;1;14640,00;0,00;14640,00;14640,00;495.0
CONSENT;3;F;PUR SANG;1;0;1;14640,00;0,00;14640,00;14640,00;420.0
CATHEDRAL;3;F;PUR SANG;1;0;1;14640,00;0,00;14640,00;14640,00;485.0
BALANTINA;2;F;PUR SANG;1;0;1;14640,00;0,00;14640,00;14640,00;445.0
GEOGRAPHY;4;H;PUR SANG;1;0;1;14640,00;0,00;14640,00;14640,00;500.0
LIFE IS BEAUTIFUL;3;F;PUR SANG;1;0;1;14640,00;0,00;14640,00;14640,00;445.0
ANDAB;2;M;PUR SANG;1;0;1;14640,00;0,00;14640,00;14640,00;465.0
POWAI;2;M;PUR SANG;2;1;1;14633,00;0,00;14633,00;7316,50;
HERE I BOW;2;F;PUR SANG;5;1;3;14623,00;10966,00;25589,00;2924,60;380.0
ARLINO;4;H;PUR SANG;5;1;3;14620,00;6579,00;21199,00;2924,00;235.0
MIUCCIA;2;F;PUR SANG;2;1;1;14614,00;0,00;14614,00;7307,00;
MARTIN;4;H;PUR SANG;5;1;2;14612,00;6575,00;21187,00;2922,40;355.0
FIREBIRD DU PECOS AA;5;F;*ANGLO-ARABE COMPLEMENT*;7;1;4;14610,00;0,00;14610,00;2087,14;
EMPRESS STAR;4;F;PUR SANG;9;1;4;14610,00;6574,00;21184,00;1623,33;275.0
TORRONE;3;H;PUR SANG;2;1;1;14610,00;10957,00;25567,00;7305,00;
UNFURLED;3;M;PUR SANG;5;1;2;14610,00;10957,00;25567,00;2922,00;320.0
HONEY BADGER;4;H;PUR SANG;6;1;3;14608,00;6573,00;21181,00;2434,67;330.0
NACIDO;7;H;PUR SANG;5;1;2;14600,00;0,00;14600,00;2920,00;360.0
ASHNAK;3;H;PUR SANG;3;0;3;14600,00;10950,00;25550,00;4866,67;415.0
ENERGIC;4;H;PUR SANG;13;2;8;14595,00;6566,00;21161,00;1122,69;510.0
GOLFEUR;4;H;PUR SANG;9;1;5;14583,00;6179,00;20762,00;1620,33;315.0
LA BELLE POETE;4;F;PUR SANG;3;1;2;14575,00;6558,00;21133,00;4858,33;380.0
KING OF EYLAU;3;H;PUR SANG;7;0;5;14570,00;10927,00;25497,00;2081,43;315.0
REAL SOCIEDAD;3;F;PUR SANG;5;1;1;14550,00;10912,00;25462,00;2910,00;350.0
BAROUKI AA;5;H;ANGLO-ARABE;6;1;5;14545,00;0,00;14545,00;2424,17;
TREVOR SENORA;5;H;PUR SANG;9;0;7;14544,00;6544,00;21088,00;1616,00;225.0
ALCOTAN;5;H;PUR SANG;6;1;3;14528,00;6536,00;21064,00;2421,33;310.0
CARISHA;3;F;PUR SANG;4;1;1;14515,00;10886,00;25401,00;3628,75;355.0
GAILLARD;5;H;PUR SANG;8;0;6;14513,00;6530,00;21043,00;1814,13;350.0
ZEKRET;3;M;PUR SANG;3;0;3;14500,00;10875,00;25375,00;4833,33;455.0
LUNA ROCK;4;F;PUR SANG;7;0;4;14495,00;6522,00;21017,00;2070,71;310.0
BAKLAWA;2;F;PUR SANG;2;1;1;14490,00;10867,00;25357,00;7245,00;
FORCEFULL;4;F;PUR SANG;4;1;2;14460,00;6507,00;20967,00;3615,00;340.0
RONALDO;11;H;PUR SANG;9;2;3;14441,00;0,00;14441,00;1604,56;235.0
CAVANI KAIZEN;7;H;PUR SANG;8;2;4;14430,00;6492,00;20922,00;1803,75;310.0
HEPBURN;2;F;PUR SANG;4;0;4;14420,00;10814,00;25234,00;3605,00;390.0
LIGHT BLUE AA;4;F;ANGLO-ARABE;7;1;3;14405,00;0,00;14405,00;2057,86;
A CANNES;5;H;PUR SANG;6;1;4;14400,00;6480,00;20880,00;2400,00;360.0
CARLSTON;4;H;PUR SANG;8;1;3;14400,00;6480,00;20880,00;1800,00;330.0
KHALIJ;4;M;ARABE;3;1;2;14400,00;6480,00;20880,00;4800,00;480.0
MR L'APOTHICAIRE;4;H;PUR SANG;5;0;5;14400,00;6480,00;20880,00;2880,00;320.0
NOBLE D'ARGENT;2;M;PUR SANG;4;1;3;14396,00;10797,00;25193,00;3599,00;380.0
MIRAGE BLOU;3;M;PUR SANG;7;0;5;14396,00;10797,00;25193,00;2056,57;310.0
DULINI;4;F;PUR SANG;6;1;2;14388,00;0,00;14388,00;2398,00;350.0
PARFAITE MERILL;8;F;PUR SANG;11;1;6;14376,00;6468,00;20844,00;1306,91;205.0
MANNE;8;F;PUR SANG;8;1;4;14363,00;6462,00;20825,00;1795,38;270.0
MISSRIYA;8;F;PUR SANG;7;1;5;14360,00;6461,00;20821,00;2051,43;315.0
MASINDHAL;3;H;PUR SANG;7;0;6;14358,00;10767,00;25125,00;2051,14;300.0
DROIT DE PAROLE;9;M;PUR SANG;7;1;3;14350,00;6457,00;20807,00;2050,00;315.0
MATHILDE DU BERGER;3;F;CHEVAL AUTRE QUE PUR SANG;2;1;1;14330,00;0,00;14330,00;7165,00;
PEACEFUL SEA;5;F;PUR SANG;7;1;1;14300,00;0,00;14300,00;2042,86;320.0
THE SHERIFF;3;M;PUR SANG;2;0;2;14300,00;10725,00;25025,00;7150,00;435.0
MOUTRAKI;7;H;PUR SANG;9;1;6;14290,00;0,00;14290,00;1587,78;250.0
SUPER CUTE;7;F;PUR SANG;8;1;4;14280,00;6426,00;20706,00;1785,00;220.0
GOLDEN ALQA;3;F;PUR SANG;8;2;2;14275,00;10704,00;24979,00;1784,38;330.0
ELMALKA;4;F;PUR SANG;1;0;1;14275,00;0,00;14275,00;14275,00;495.0
RED JOY;6;F;PUR SANG;4;0;3;14250,00;6412,00;20662,00;3562,50;255.0
L'HIPPOCAMPE;6;H;PUR SANG;7;1;4;14236,00;6406,00;20642,00;2033,71;250.0
SCENT OF A WOMAN;3;F;PUR SANG;4;1;2;14235,00;0,00;14235,00;3558,75;360.0
FEARLESS CHEETAH;5;F;PUR SANG;4;1;1;14230,00;6403,00;20633,00;3557,50;295.0
ISMAEL PAINT;7;H;PUR SANG;8;1;2;14214,00;6395,00;20609,00;1776,75;340.0
ARNAY LE DUC;3;H;PUR SANG;3;1;2;14190,00;10642,00;24832,00;4730,00;370.0
LADY MADEIRA;3;F;PUR SANG;7;1;4;14174,00;10630,00;24804,00;2024,86;305.0
LE MATELOT;3;H;PUR SANG;4;1;3;14170,00;10627,00;24797,00;3542,50;410.0
DENIA;7;F;PUR SANG;10;0;6;14147,00;6364,00;20511,00;1414,70;305.0
BALAKOVNA;5;F;PUR SANG;6;1;3;14143,00;6363,00;20506,00;2357,17;330.0
PODIA DAZ;6;F;PUR SANG;7;2;2;14139,00;6362,00;20501,00;2019,86;215.0
HORS LIMITES;3;F;PUR SANG;5;0;4;14130,00;0,00;14130,00;2826,00;370.0
ZYGFRYD;7;H;PUR SANG;11;0;8;14121,00;6353,00;20474,00;1283,73;175.0
LA JAVANAISE;8;F;PUR SANG;13;1;6;14114,00;6350,00;20464,00;1085,69;245.0
ZAGAZIG;3;F;PUR SANG;6;1;5;14110,00;10581,00;24691,00;2351,67;300.0
STUNNING HERO;3;H;PUR SANG;7;0;5;14092,00;10567,00;24659,00;2013,14;315.0
GO FOR IT;6;F;PUR SANG;7;2;4;14070,00;6331,00;20401,00;2010,00;185.0
NORTH SHORE;3;H;PUR SANG;2;1;1;14070,00;10552,00;24622,00;7035,00;
PEARL HARBOUR;5;F;PUR SANG;7;1;4;14066,00;6329,00;20395,00;2009,43;190.0
ALCEDIMZOE;5;F;PUR SANG;8;1;3;14060,00;6327,00;20387,00;1757,50;320.0
SAKHALINE;3;H;PUR SANG;6;1;3;14056,00;10541,00;24597,00;2342,67;355.0
TIGER;3;H;PUR SANG;4;1;2;14050,00;10537,00;24587,00;3512,50;375.0
KARIOITAHI;8;F;PUR SANG;7;1;3;14043,00;0,00;14043,00;2006,14;285.0
SHANCEL;3;M;PUR SANG;9;1;4;14030,00;10522,00;24552,00;1558,89;285.0
BAIGNADE;4;F;PUR SANG;11;0;5;14028,00;0,00;14028,00;1275,27;305.0
MABRISKA;3;F;CHEVAL AUTRE QUE PUR SANG;2;2;0;14000,00;0,00;14000,00;7000,00;
BELIEVER;4;M;PUR SANG;2;1;1;14000,00;6300,00;20300,00;7000,00;460.0
HONNEUR'S ORACLE;3;F;PUR SANG;7;1;3;14000,00;10500,00;24500,00;2000,00;280.0
EL BNOUD;3;F;ARABE;2;1;1;14000,00;10500,00;24500,00;7000,00;
DIVINE DE LENZAC AA;3;F;ANGLO-ARABE;6;0;5;13992,00;0,00;13992,00;2332,00;
MAGIC BEDE;3;H;CHEVAL AUTRE QUE PUR SANG;3;1;2;13980,00;0,00;13980,00;4660,00;
DAISY DAISY;2;F;PUR SANG;3;1;2;13980,00;0,00;13980,00;4660,00;360.0
MAGICAL TRAIL;3;F;PUR SANG;6;0;4;13965,00;0,00;13965,00;2327,50;380.0
VASSY;2;M;PUR SANG;2;1;1;13958,00;10468,00;24426,00;6979,00;
ISNEAUVILLE;3;F;PUR SANG;4;1;2;13950,00;10462,00;24412,00;3487,50;380.0
GYP SEA;3;F;PUR SANG;13;1;7;13950,00;10461,00;24411,00;1073,08;270.0
MY FANCY;6;H;PUR SANG;3;1;1;13940,00;6273,00;20213,00;4646,67;375.0
KYALIGHT;5;F;CHEVAL AUTRE QUE PUR SANG;5;1;3;13935,00;0,00;13935,00;2787,00;
VALINA;6;F;PUR SANG;8;1;3;13930,00;6268,00;20198,00;1741,25;275.0
NOBLE COTAI;4;M;PUR SANG;7;1;3;13926,00;0,00;13926,00;1989,43;260.0
TOKYO DREAMER;4;F;PUR SANG;9;0;7;13916,00;0,00;13916,00;1546,22;300.0
ORANGE VIF;6;H;PUR SANG;12;0;6;13910,00;6258,00;20168,00;1159,17;255.0
WINDBURN;4;F;PUR SANG;6;1;2;13903,00;6255,00;20158,00;2317,17;315.0
IRBIS;6;H;PUR SANG;10;0;4;13900,00;6255,00;20155,00;1390,00;320.0
KATE TO WIN;5;F;CHEVAL AUTRE QUE PUR SANG;6;1;2;13895,00;0,00;13895,00;2315,83;
MISS ESTRELLA;5;F;PUR SANG;14;1;11;13890,00;6249,00;20139,00;992,14;545.0
TIGER KING;4;H;PUR SANG;8;1;5;13890,00;6250,00;20140,00;1736,25;265.0
L'OR MONSEIGNOR;4;H;CHEVAL AUTRE QUE PUR SANG;4;2;1;13880,00;0,00;13880,00;3470,00;
INVIOLABLE SPIRIT;10;H;PUR SANG;8;0;8;13838,00;0,00;13838,00;1729,75;215.0
FAITHFUL FRIEND;3;F;PUR SANG;5;1;2;13825,00;0,00;13825,00;2765,00;355.0
QUIET KING;3;H;PUR SANG;3;0;3;13815,00;10361,00;24176,00;4605,00;390.0
POLIVATE;7;F;PUR SANG;10;1;5;13810,00;6214,00;20024,00;1381,00;235.0
ROMANCE CERTAINE;3;F;PUR SANG;4;1;1;13800,00;10350,00;24150,00;3450,00;405.0
DARKAVA;3;F;PUR SANG;2;1;1;13800,00;10350,00;24150,00;6900,00;395.0
NUBUCK;3;M;PUR SANG;2;1;1;13800,00;0,00;13800,00;6900,00;360.0
SPIRIT OF DANCE;9;H;PUR SANG;13;2;5;13790,00;4225,00;18015,00;1060,77;240.0
MISS TARKEN;3;F;PUR SANG;5;1;2;13760,00;10320,00;24080,00;2752,00;345.0
BOEZA;3;F;PUR SANG;10;1;4;13757,00;10317,00;24074,00;1375,70;345.0
SIGNOR GALLI;3;M;PUR SANG;4;1;2;13755,00;10315,00;24070,00;3438,75;355.0
KEANU;3;M;PUR SANG;6;1;2;13755,00;10315,00;24070,00;2292,50;350.0
SHE'S A TEASE;3;F;PUR SANG;4;1;2;13750,00;0,00;13750,00;3437,50;380.0
KIRCHNER;3;M;PUR SANG;3;0;3;13750,00;0,00;13750,00;4583,33;420.0
SMOOKIE;3;F;PUR SANG;11;2;7;13740,00;10304,00;24044,00;1249,09;550.0
GOT SEA;4;H;PUR SANG;6;1;3;13740,00;6183,00;19923,00;2290,00;295.0
SPRINGBOKS;7;H;PUR SANG;12;1;7;13730,00;6177,00;19907,00;1144,17;240.0
LOGIS;4;H;PUR SANG;9;1;3;13730,00;6178,00;19908,00;1525,56;220.0
CHAI D'OEUVRE;4;H;PUR SANG;6;1;3;13730,00;6177,00;19907,00;2288,33;270.0
LAVIE DA CLODIA AA;4;F;*ANGLO-ARABE*;6;0;6;13725,00;0,00;13725,00;2287,50;
WATEEN;2;F;PUR SANG;2;0;2;13725,00;0,00;13725,00;6862,50;360.0
IVRE DE TOI;7;H;CHEVAL AUTRE QUE PUR SANG;9;0;7;13720,00;0,00;13720,00;1524,44;
SENEPARK;11;H;PUR SANG;11;2;5;13700,00;4476,00;18176,00;1245,45;180.0
SABROSO;4;H;PUR SANG;3;1;1;13700,00;6165,00;19865,00;4566,67;400.0
MON SEUL DESIR;3;F;PUR SANG;4;1;2;13700,00;10274,00;23974,00;3425,00;335.0
MATURE;2;M;PUR SANG;1;1;0;13700,00;10275,00;23975,00;13700,00;
ZALINA;2;F;PUR SANG;1;1;0;13700,00;10275,00;23975,00;13700,00;
GENTLEMANLIKE;2;M;PUR SANG;1;1;0;13700,00;10275,00;23975,00;13700,00;
OZONE;2;F;PUR SANG;1;1;0;13700,00;10275,00;23975,00;13700,00;
ARKANSAS;2;F;PUR SANG;2;1;0;13700,00;10275,00;23975,00;6850,00;
DEBROUILLARDE;2;F;PUR SANG;1;1;0;13700,00;0,00;13700,00;13700,00;
OURO PRETO;4;H;PUR SANG;3;1;2;13677,00;6154,00;19831,00;4559,00;375.0
THE BLACK SKY;3;M;PUR SANG;9;0;8;13656,00;10242,00;23898,00;1517,33;365.0
ORION QUEEN;4;F;PUR SANG;5;2;3;13650,00;6142,00;19792,00;2730,00;365.0
FLEUR DE LIS;3;F;PUR SANG;2;1;1;13650,00;10237,00;23887,00;6825,00;
NICLAS;3;M;PUR SANG;3;1;1;13650,00;0,00;13650,00;4550,00;350.0
VALENTIA ISLAND;3;F;PUR SANG;7;1;1;13650,00;0,00;13650,00;1950,00;320.0
MARQUES;3;F;PUR SANG;5;0;4;13650,00;10237,00;23887,00;2730,00;345.0
INNAMORATO;3;H;PUR SANG;6;0;4;13650,00;10237,00;23887,00;2275,00;335.0
CERTAIN LAD;9;H;PUR SANG;1;0;1;13650,00;0,00;13650,00;13650,00;505.0
BETTY CLOVER;3;F;PUR SANG;1;0;1;13650,00;0,00;13650,00;13650,00;455.0
VULDETRADE;4;F;PUR SANG;9;1;4;13636,00;6135,00;19771,00;1515,11;260.0
SISSINGHURST;4;F;PUR SANG;5;1;2;13635,00;0,00;13635,00;2727,00;320.0
FILOU DU PECOS AA;3;M;ANGLO-ARABE;2;1;1;13626,00;0,00;13626,00;6813,00;
DE QUEVEDO;5;H;PUR SANG;8;1;4;13610,00;6124,00;19734,00;1701,25;170.0
HEY VINCE;3;H;PUR SANG;6;0;4;13610,00;10207,00;23817,00;2268,33;360.0
ACHKI;10;H;PUR SANG;11;0;10;13602,00;6120,00;19722,00;1236,55;190.0
TAGA;3;F;PUR SANG;4;1;1;13600,00;10200,00;23800,00;3400,00;305.0
MAY IT BE;4;F;PUR SANG;2;1;1;13600,00;6120,00;19720,00;6800,00;430.0
PIQUOISEAU;3;H;PUR SANG;3;0;3;13600,00;10200,00;23800,00;4533,33;410.0
BONNY WAY;4;F;PUR SANG;10;1;5;13599,00;6119,00;19718,00;1359,90;250.0
REDSIA FAL;3;F;PUR SANG;11;0;10;13576,00;10181,00;23757,00;1234,18;295.0
CHIARANIYA;4;F;PUR SANG;5;0;3;13575,00;6108,00;19683,00;2715,00;445.0
GOOD BYE MANU;2;M;PUR SANG;3;1;2;13554,00;10165,00;23719,00;4518,00;385.0
JECTOT;6;H;PUR SANG;11;1;8;13545,00;5902,00;19447,00;1231,36;160.0
TOOGOODTOBEROOD;3;H;PUR SANG;8;1;2;13540,00;10155,00;23695,00;1692,50;320.0
CASIM;3;H;PUR SANG;6;0;4;13536,00;10152,00;23688,00;2256,00;325.0
BAILEYS HONEYMOON;3;F;PUR SANG;6;1;2;13526,00;10144,00;23670,00;2254,33;310.0
HIGH VIOLET;4;F;PUR SANG;9;1;3;13520,00;0,00;13520,00;1502,22;305.0
ALMAGRO;5;H;PUR SANG;4;1;2;13510,00;6079,00;19589,00;3377,50;265.0
MCLEAN HOUSE;5;H;PUR SANG;3;1;0;13500,00;6075,00;19575,00;4500,00;425.0
MARCUS AURELIUS;5;H;PUR SANG;4;1;0;13500,00;6075,00;19575,00;3375,00;395.0
NARKEZ;4;H;PUR SANG;1;1;0;13500,00;6075,00;19575,00;13500,00;445.0
WE'LL DEFEND;3;F;PUR SANG;1;1;0;13500,00;10125,00;23625,00;13500,00;
BONNIE MOON;3;F;PUR SANG;1;1;0;13500,00;10125,00;23625,00;13500,00;
FAMILLY;3;F;PUR SANG;2;1;0;13500,00;10125,00;23625,00;6750,00;
MAJOLIQUE;3;F;PUR SANG;1;1;0;13500,00;10125,00;23625,00;13500,00;
SHIRIBETSU;3;F;PUR SANG;2;1;0;13500,00;10125,00;23625,00;6750,00;
TUONO;3;H;PUR SANG;1;1;0;13500,00;10125,00;23625,00;13500,00;
DANARA;3;F;PUR SANG;1;1;0;13500,00;10125,00;23625,00;13500,00;
MR AMPHITRYON;3;H;PUR SANG;2;1;0;13500,00;10125,00;23625,00;6750,00;
EXTRAPOL;3;M;PUR SANG;2;1;0;13500,00;10125,00;23625,00;6750,00;
KRYON;3;H;PUR SANG;1;1;0;13500,00;10125,00;23625,00;13500,00;
QUEEN'S TRIAL;3;F;PUR SANG;3;1;0;13500,00;0,00;13500,00;4500,00;375.0
TIMADOR;3;M;PUR SANG;1;1;0;13500,00;0,00;13500,00;13500,00;
SITORA;3;F;PUR SANG;1;1;0;13500,00;0,00;13500,00;13500,00;
MARLOWE;3;M;PUR SANG;1;1;0;13500,00;0,00;13500,00;13500,00;
GOLDEN SPLENDOUR;3;F;PUR SANG;1;1;0;13500,00;0,00;13500,00;13500,00;
TAYIB YOUMZAIN;3;M;PUR SANG;5;0;3;13500,00;10124,00;23624,00;2700,00;350.0
MANSOOR DE FAUST;3;M;ARABE;6;0;5;13500,00;10125,00;23625,00;2250,00;
WASSAIL;3;F;PUR SANG;3;0;2;13500,00;0,00;13500,00;4500,00;430.0
PROMISES FULFILLED;3;F;PUR SANG;3;0;3;13470,00;0,00;13470,00;4490,00;385.0
PACO;7;M;PUR SANG;6;1;4;13466,00;6058,00;19524,00;2244,33;295.0
NEOWISE;5;F;PUR SANG;6;1;2;13452,00;0,00;13452,00;2242,00;200.0
HENRY THE LION;5;H;PUR SANG;8;0;6;13452,00;6053,00;19505,00;1681,50;340.0
LIGHT MOOD;3;H;PUR SANG;2;0;2;13450,00;10087,00;23537,00;6725,00;420.0
PEYRASSOL;5;H;PUR SANG;9;1;6;13446,00;6050,00;19496,00;1494,00;205.0
DIAMONDS;3;F;PUR SANG;13;1;6;13440,00;8841,00;22281,00;1033,85;230.0
CENDRE;3;F;PUR SANG;7;0;4;13425,00;10068,00;23493,00;1917,86;325.0
BLUE HUNT;3;F;PUR SANG;6;1;2;13420,00;10065,00;23485,00;2236,67;350.0
WATCH HIM;7;M;PUR SANG;5;0;2;13420,00;6039,00;19459,00;2684,00;425.0
